Time,Registration,Payment,Get Triage Number,Measure Vital Signs,General Medicine Examination,Eye Examination,ENT Examination,Dental Examination,Gynecological Examination,Breast Examination,Blood Test,Urine Test,In-depth Eye Examination,ENT Endoscopy,Electrocardiogram (ECG),Post-bronchodilator Spirometry,General Ultrasound,Cardiac Ultrasound,Chest X-ray,DEXA Bone Density Scan,Conclusion
166.0,1,3,0,1,3,1,1,1,1,2,2,8,0,0,0,0,9,20,1,0,1
167.0,1,2,0,1,3,2,2,1,1,1,2,8,0,0,0,0,9,20,1,0,1
168.0,0,2,0,2,2,2,1,2,1,1,3,9,0,0,0,0,8,20,1,0,0
169.0,2,1,0,2,2,2,1,3,1,1,3,10,0,0,0,0,7,19,1,0,1
170.0,4,0,0,2,2,2,2,3,1,0,1,11,0,0,0,0,7,19,3,0,1
171.0,3,1,0,1,3,3,2,1,1,0,3,9,0,0,0,0,7,21,2,0,1
172.0,1,4,0,0,3,2,2,2,1,1,3,9,0,0,0,0,7,21,2,0,0
173.0,1,3,0,1,2,1,2,3,1,2,3,9,0,0,0,0,8,20,1,0,1
174.0,1,3,0,2,1,3,2,1,1,2,3,9,0,0,0,0,9,20,1,0,1
175.0,4,2,0,2,1,3,2,2,1,2,3,9,0,0,0,0,8,21,1,0,1
176.0,3,2,0,2,2,3,2,2,1,2,2,10,0,0,0,0,7,21,2,0,0
177.0,1,4,0,2,3,2,3,2,1,1,3,10,0,0,0,0,7,22,1,0,0
178.0,2,3,0,2,3,2,5,3,0,0,3,11,0,0,0,0,6,21,1,0,1
179.0,1,3,0,2,3,3,4,2,0,1,2,11,0,0,0,0,8,21,1,0,1
180.0,0,3,0,2,3,2,3,3,1,1,2,10,0,0,0,0,8,21,2,0,2
181.0,0,2,0,2,2,3,3,3,1,2,1,10,0,0,0,0,9,21,2,0,1
182.0,2,1,0,2,3,3,4,2,1,2,1,9,0,0,0,0,9,22,2,0,1
183.0,3,0,0,2,3,3,3,2,1,2,4,10,0,0,0,0,8,22,1,0,0
184.0,1,2,0,1,2,4,4,3,1,1,4,11,0,0,0,0,7,22,1,0,0
185.0,0,3,0,0,3,4,3,2,1,1,4,10,0,0,0,0,9,21,2,0,1
186.0,0,1,0,2,1,3,3,2,2,2,4,12,0,0,0,0,7,21,3,0,1
187.0,1,0,0,3,1,2,3,3,2,2,2,11,0,0,0,0,8,21,4,0,2
188.0,1,1,0,1,2,2,4,4,1,2,1,11,0,0,0,0,9,21,4,0,1
189.0,1,1,0,1,2,3,3,3,1,2,3,11,0,0,0,0,9,21,3,0,1
190.0,0,1,0,1,3,3,4,3,1,1,3,10,0,0,0,0,9,22,3,0,0
191.0,0,1,0,1,1,3,3,3,2,2,4,11,0,0,0,0,8,22,3,0,0
192.0,0,0,0,1,2,3,4,3,2,1,3,10,0,0,0,0,10,23,2,0,0
193.0,0,0,0,0,2,3,5,3,2,1,1,11,0,0,0,0,10,22,3,0,1
194.0,1,0,0,0,2,2,4,3,1,1,4,12,0,0,0,0,9,23,2,0,1
195.0,2,0,0,0,1,4,3,3,1,1,5,12,0,0,0,0,9,23,1,0,1
196.0,1,1,0,0,0,3,4,3,1,2,4,11,0,0,0,0,10,23,1,0,1
197.0,0,2,0,0,0,4,3,4,1,1,4,11,0,0,0,0,11,23,0,0,1
198.0,0,0,0,2,0,4,3,3,1,2,3,11,0,0,0,0,11,23,1,0,1
199.0,0,0,0,2,0,4,4,3,0,2,2,11,0,0,0,0,10,24,2,0,0
200.0,1,0,0,1,1,3,4,3,0,2,1,11,0,0,0,0,11,23,3,0,1
201.0,1,0,0,0,2,4,3,3,0,1,2,10,0,0,0,0,12,24,2,0,1
202.0,0,1,0,0,2,3,3,4,1,0,2,12,0,0,0,0,11,24,1,0,1
203.0,0,1,0,0,1,3,3,3,1,0,3,12,0,0,0,0,11,24,2,0,0
204.0,0,0,0,1,0,3,3,2,1,1,4,11,0,0,0,0,11,25,1,0,1
205.0,0,0,0,0,1,2,3,3,1,1,4,11,0,0,0,0,11,25,1,0,1
206.0,1,0,0,0,1,1,2,3,1,1,4,12,0,0,0,0,10,25,3,0,1
207.0,1,0,0,0,1,1,1,2,1,1,5,11,0,0,0,0,10,26,4,0,0
208.0,3,1,0,0,1,0,2,2,1,1,6,11,0,0,0,0,10,26,3,0,0
209.0,3,1,0,0,0,2,2,1,1,0,5,11,0,0,0,0,11,25,4,0,1
210.0,1,2,0,1,0,2,2,0,0,0,7,12,0,0,0,0,9,26,4,0,1
211.0,1,3,0,1,0,2,1,1,0,0,5,13,0,0,0,0,10,26,4,0,1
212.0,1,2,0,1,1,0,1,1,1,1,5,12,0,0,0,0,10,26,4,0,1
213.0,0,2,0,2,1,0,0,1,1,1,5,13,0,0,0,0,10,26,4,0,1
214.0,0,1,0,1,3,0,0,0,1,1,6,13,0,0,0,0,11,26,3,0,0
215.0,0,1,0,1,2,1,0,0,1,1,4,12,0,0,0,0,12,27,4,0,0
216.0,0,0,0,1,3,1,0,0,1,1,3,12,0,0,0,0,12,27,5,0,0
217.0,1,0,0,1,1,1,2,1,1,0,2,11,0,0,0,0,13,27,5,0,1
218.0,2,0,0,0,2,0,2,1,1,1,1,14,0,0,0,0,12,27,4,0,1
219.0,2,1,0,0,1,1,2,1,1,1,1,15,0,0,0,0,11,26,4,0,2
220.0,3,2,0,0,0,2,2,2,0,1,0,14,0,0,0,0,11,27,5,0,1
221.0,2,2,0,1,0,2,2,2,0,1,0,15,0,0,0,0,12,27,3,0,1
222.0,0,3,0,2,0,0,2,3,1,1,0,14,0,0,0,0,12,28,3,0,0
223.0,2,3,0,0,2,2,1,2,1,0,1,14,0,0,0,0,12,28,3,0,0
224.0,5,1,0,2,2,2,1,2,1,0,1,13,0,0,0,0,14,29,1,0,0
225.0,2,3,0,3,2,2,1,2,1,0,1,13,0,0,0,0,14,29,1,0,0
226.0,1,4,0,1,3,0,1,2,1,0,3,14,0,0,0,0,13,27,2,0,2
227.0,0,3,0,3,2,1,1,2,1,0,3,14,0,0,0,0,13,28,1,0,2
228.0,1,3,0,2,3,1,1,2,1,0,2,15,0,0,0,0,12,28,2,0,2
229.0,1,2,0,2,3,2,1,0,2,1,4,15,0,0,0,0,11,29,1,0,0
